State,District,N,OC,P,K,ACIDIC,NEUTRAL,BASIC
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,99.11,65.96,78.16,89.89,35.27,8.53,56.2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,99.91,85.85,98.35,85.05,94.44,1.52,4.05
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,98.58,74.05,91.81,87.86,65.56,3.89,30.56
ANDHRA PRADESH,ANANTAPUR,92.62,54.21,6.13,15.85,0.0,100.0,0.0
ANDHRA PRADESH,CHITTOOR,96.23,36.68,11.63,49.93,0.0,100.0,0.0
ANDHRA PRADESH,EAST GODAVARI,95.82,24.8,13.7,18.62,0.0,100.0,0.0
ANDHRA PRADESH,GUNTUR,89.51,51.99,11.07,6.16,0.0,100.0,0.0
ANDHRA PRADESH,KRISHNA,90.28,21.44,2.28,26.2,0.0,100.0,0.0
ANDHRA PRADESH,KURNOOL,99.69,56.39,8.85,29.49,0.0,100.0,0.0
ANDHRA PRADESH,PRAKASAM,93.43,52.37,24.88,16.77,0.0,100.0,0.0
ANDHRA PRADESH,NELLORE,93.47,24.58,10.11,58.58,0.0,100.0,0.0
ANDHRA PRADESH,SRIKAKULAM,88.52,29.53,42.62,23.91,0.0,100.0,0.0
ANDHRA PRADESH,VISAKHAPATANAM,88.98,22.07,14.41,51.42,0.0,100.0,0.0
ANDHRA PRADESH,VIZIANAGARAM,94.23,35.39,9.17,23.2,0.0,100.0,0.0
ANDHRA PRADESH,WEST GODAVARI,87.25,33.02,3.41,56.53,0.0,100.0,0.0
ANDHRA PRADESH,Y.S.R.,98.59,63.67,19.79,28.43,0.0,100.0,0.0
ARUNACHAL PRADESH,CHANGLANG,7.28,26.47,96.8,21.61,96.49,1.1,2.4299999999999997
ARUNACHAL PRADESH,DIBANG VALLEY,0.48,5.07,79.85,20.27,99.88,0.0,0.12
ARUNACHAL PRADESH,EAST KAMENG,4.05,6.37,84.33,16.22,98.69,0.19,1.12
ARUNACHAL PRADESH,EAST SIANG,0.7,0.0,93.59,39.48,99.88,0.0,0.12
ARUNACHAL PRADESH,KRA DAADI,4.82,10.68,86.35,31.03,99.60999999999999,0.0,0.38
ARUNACHAL PRADESH,KURUNG KUMEY,1.37,3.62,93.98,18.42,97.42999999999999,0.86,1.72
ARUNACHAL PRADESH,LOHIT,3.6,8.64,72.63,12.6,99.37,0.27,0.36
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0.68,0.81,88.15,17.17,99.99999999999999,0.0,0.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,51.58,6.0,57.24,41.33,97.99,0.44,1.56
ARUNACHAL PRADESH,PAPUM PARE,1.11,3.2,80.56,10.94,97.72,0.92,1.3599999999999999
ARUNACHAL PRADESH,TAWANG,5.08,9.46,82.87,8.11,90.91,1.25,7.84
ARUNACHAL PRADESH,UPPER SIANG,4.13,13.84,96.86,16.83,99.57000000000001,0.0,0.43
ARUNACHAL PRADESH,UPPER SUBANSIRI,0.88,23.12,84.47,33.08,97.66,0.13,2.21
ARUNACHAL PRADESH,WEST KAMENG,6.31,12.94,99.05,7.73,99.85000000000001,0.0,0.16
ARUNACHAL PRADESH,WEST SIANG,0.28,0.14,94.26,18.73,99.96000000000001,0.0,0.05
ASSAM,BAKSA,76.89,57.14,96.78,85.38,97.32,0.22,2.46
ASSAM,BARPETA,63.26,29.87,79.61,85.48,55.03,0.34,44.64
ASSAM,BISWANATH,93.69,43.37,94.08,28.57,98.67000000000002,0.26,1.07
ASSAM,BONGAIGAON,67.93,26.1,84.49,87.01,68.37,0.63,31.0
ASSAM,CACHAR,0.89,2.4,56.5,74.86,99.05000000000001,0.03,0.91
ASSAM,CHARAIDEO,100.0,33.33,100.0,100.0,100.0,0.0,0.0
ASSAM,CHIRANG,80.9,37.67,95.15,76.17,71.97,0.14,27.88
ASSAM,DARRANG,91.73,78.67,95.44,79.36,98.69,0.03,1.28
ASSAM,DHEMAJI,89.83,66.67,65.08,5.56,99.97999999999999,0.0,0.02
ASSAM,DHUBRI,0.26,1.19,18.65,78.11,99.92999999999999,0.0,0.06
ASSAM,DIBRUGARH,53.1,10.69,98.12,94.31,99.69,0.06,0.24000000000000002
ASSAM,GOALPARA,5.12,5.62,72.66,66.57,99.71,0.0,0.3
ASSAM,GOLAGHAT,29.08,1.23,97.57,83.23,99.78999999999999,0.04,0.16
ASSAM,HAILAKANDI,0.34,1.27,94.39,77.36,99.99000000000001,0.0,0.02
ASSAM,HOJAI,91.5,38.46,57.69,89.1,53.839999999999996,0.64,45.51
ASSAM,JORHAT,1.85,5.11,68.87,69.32,98.82,0.05,1.14
ASSAM,KAMRUP,4.12,5.12,72.62,85.6,98.03999999999999,0.29,1.66
ASSAM,KAMRUP METROPOLITAN,0.71,1.42,59.45,65.53,97.32,0.04,2.64
ASSAM,KARBI ANGLONG,87.37,55.81,65.79,7.29,99.96000000000001,0.05,0.0
ASSAM,KARIMGANJ,0.29,4.79,61.64,70.86,99.56,0.02,0.42000000000000004
ASSAM,KOKRAJHAR,86.58,82.04,85.25,88.64,28.44,0.25,71.31
ASSAM,LAKHIMPUR,91.47,57.44,79.52,61.3,99.6,0.0,0.4
ASSAM,MAJULI,2.68,7.38,71.81,76.18,92.62,0.0,7.38
ASSAM,MARIGAON,0.68,1.54,48.49,66.42,95.97,0.61,3.41
ASSAM,NAGAON,76.28,20.07,95.8,94.25,93.84,0.2,5.949999999999999
ASSAM,NALBARI,93.7,69.69,71.94,86.86,86.16999999999999,0.33,13.5
ASSAM,SIVASAGAR,57.98,10.13,98.96,86.9,99.86999999999999,0.03,0.1
ASSAM,SONITPUR,94.91,42.66,97.52,50.48,98.78,0.23,0.99
ASSAM,SOUTH SALMARA MANCACHAR,0.58,6.27,19.52,80.01,99.64999999999999,0.05,0.31
ASSAM,TINSUKIA,72.93,38.39,97.52,98.58,65.45,0.37,34.2
ASSAM,UDALGURI,0.28,0.75,5.85,67.97,99.97,0.0,0.03
BIHAR,ARARIA,31.55,15.45,52.91,49.67,99.94,0.0,0.06
BIHAR,ARWAL,38.28,34.76,31.97,95.65,43.97,0.09,55.94
BIHAR,AURANGABAD,0.0,0.0,0.0,50.0,0.0,0.0,100.0
BIHAR,BANKA,96.84,92.8,0.97,97.44,59.05,12.65,28.299999999999997
BIHAR,BEGUSARAI,99.6,31.94,5.29,4.36,30.63,9.84,59.53
BIHAR,BHAGALPUR,90.27,82.37,55.28,7.31,54.29,3.68,42.040000000000006
BIHAR,BHOJPUR,57.43,46.74,96.36,28.42,19.689999999999998,0.11,80.2
BIHAR,BUXAR,50.05,34.9,47.66,40.66,47.57,0.62,51.82
