State,District,Latitude,Longitude
Andaman and Nicobar Islands,North and Middle Andaman,12.65190000,92.89760000
Andaman and Nicobar Islands,South Andaman,11.74010000,92.65860000
Andaman and Nicobar Islands,Nicobar,7.83529100,93.51160000
Telangana,Adilabad,19.28451000,78.81321000
Andhra Pradesh,Anantapur,14.31207000,77.46016000
Andhra Pradesh,Chittoor,13.33109000,78.92764000
Andhra Pradesh,Cuddapah,14.49029000,78.69614000
Andhra Pradesh,East Godavari,16.78272000,82.24321000
Andhra Pradesh,Guntur,15.88493000,80.58658000
Andhra Pradesh,Hyderabad,17.38972000,78.46669000
Telangana,Karimnagar,18.51548000,79.43765000
Telangana,Khammam,17.68392000,80.67009000
Andhra Pradesh,Krishna,16.14387000,81.14805000
Andhra Pradesh,Kurnool,15.43760000,77.90087000
Telangana,Mahbubnagar,16.63955000,77.98933000
Telangana,Medak,17.88930000,78.13779000
Telangana,Nalgonda,17.11325000,79.16984000
Andhra Pradesh,Nellore,13.89434000,80.14703000
Telangana,Nizamabad,18.42949000,78.07523000
Andhra Pradesh,Prakasam,15.48904000,80.11666000
Telangana,Rangareddi,17.24524000,78.05757000
Andhra Pradesh,Srikakulam,18.57090000,84.25875000
Andhra Pradesh,Visakhapatanam,17.64684000,83.01014000
Andhra Pradesh,Vizianagaram,18.28330000,83.45983000
Telangana,Warangal,18.01753000,79.87422000
Andhra Pradesh,Andhra Pradesh,16.63298000,81.45913000
Arunachal Pradesh,Anjaw,28.06549000,96.82878000
Arunachal Pradesh,Changlang,27.36048000,96.37553000
Arunachal Pradesh,East Kameng,27.37119000,93.04741000
Arunachal Pradesh,East Siang,28.15382000,95.06499000
Arunachal Pradesh,Kurung Kumey,28.04853000,93.24532000
Arunachal Pradesh,Lohit,27.94679000,96.59671000
Arunachal Pradesh,Dibang Valley,28.81290000,96.15270000
Arunachal Pradesh,Lower Dibang Valley,28.32652000,95.76567000
Arunachal Pradesh,Longding,26.87280000,95.30570000
Arunachal Pradesh,Lower Subansiri,27.70849000,93.96226000
Arunachal Pradesh,Namsai,27.66920000,95.86440000
Arunachal Pradesh,Papum Pare,27.27353000,93.54468000
Arunachal Pradesh,Tawang,27.68068000,91.82504000
Arunachal Pradesh,Tirap,26.94406000,95.41470000
Arunachal Pradesh,Upper Dibang Valley,29.01995000,95.98776000
Arunachal Pradesh,Upper Siang,28.83092000,95.00156000
Arunachal Pradesh,Upper Subansiri,28.27720000,93.89914000
Arunachal Pradesh,West Kameng,27.46487000,92.65016000
Arunachal Pradesh,West Siang,28.10630000,94.53510000
Assam,Baksa,26.69350000,91.59840000
Assam,Barpeta,26.42787000,90.97912000
Assam,Bongaigaon,26.45013000,90.67343000
Assam,Cachar,24.81557000,92.86850000
Assam,Chirang,26.65390000,90.63940000
Assam,Darrang,26.58463000,92.04141000
Assam,Dhemaji,27.58653000,94.71337000
Assam,Dhubri,26.04506000,89.98501000
Assam,Dibrugarh,27.30612000,95.09983000
Assam,Dima Hasao,25.34780000,93.01760000
Assam,Goalpara,26.01728000,90.59870000
Assam,Golaghat,26.37722000,93.82583000
Assam,Hailakandi,24.45750000,92.59155000
Assam,Jorhat,26.76245000,94.30198000
Assam,Kamrup,26.17094000,91.58863000
Assam,Kamrup Metropolitan,26.07940000,91.63720000
Assam,Karbi Anglong,26.08966000,93.11537000
Assam,Karimganj,24.69661000,92.36795000
Assam,Kokrajhar,26.49725000,90.13997000
Assam,Lakhimpur,27.14129000,94.07759000
Assam,Marigaon,26.24650000,92.21950000
Assam,Nagaon,26.26462000,92.93062000
Assam,Nalbari,26.46324000,91.40599000
Assam,North Cachar Hills,25.33830000,92.97740000
Assam,Sivasagar,27.02763000,94.90026000
Assam,Sonitpur,26.73515000,92.85198000
Assam,Tinsukia,27.53549000,95.69056000
Assam,Udalguri,26.68970000,91.90990000
Bihar,Araria,26.21153000,87.30767000
Bihar,Arwal,25.16430000,84.66880000
Bihar,Aurangabad,24.77429000,84.45986000
Bihar,Banka,24.83236000,86.86649000
Bihar,Begusarai,25.54303000,86.12560000
Bihar,Kaimur,25.02157000,83.61128000
Bihar,Bhagalpur,25.27719000,87.04214000
Bihar,Bhojpur,25.50666000,84.49408000
Bihar,Buxar,25.48593000,84.08808000
Bihar,Darbhanga,26.14619000,85.97387000
Bihar,Gaya,24.72665000,84.94291000
Bihar,Gopalganj,26.44874000,84.34636000
Bihar,Jamui,24.78418000,86.26316000
Bihar,Jehanabad,25.15568000,84.92081000
Bihar,Katihar,25.56565000,87.70466000
Bihar,Khagaria,25.53559000,86.56593000
Bihar,Kishanganj,26.32434000,87.95045000
Bihar,Lakhisarai,25.18345000,86.12826000
Bihar,Madhepura,25.77342000,86.89784000
Bihar,Madhubani,26.41381000,86.16328000
Bihar,Munger,25.19854000,86.54174000
Bihar,Muzaffarpur,26.18664000,85.32745000
Bihar,Nalanda,25.22935000,85.48053000
Bihar,Nawada,24.82571000,85.61595000
Bihar,Pashchim Champaran,27.16064000,84.30266000
Bihar,Patna,25.40297000,85.31984000
Bihar,Purvi Champaran,26.68129000,85.00382000
Bihar,Purnia,25.81715000,87.40448000
Bihar,Rohtas,24.99170000,83.93508000
Bihar,Saharsa,25.82127000,86.54671000
Bihar,Samastipur,25.79321000,85.94833000
Bihar,Saran,25.89656000,84.82266000
Bihar,Sheikhpura,25.12472000,85.77839000
Bihar,Sheohar,26.45838000,85.29539000
Bihar,Sitamarhi,26.56570000,85.61172000
Bihar,Siwan,26.17364000,84.33767000
Bihar,Supaul,26.28158000,86.78496000
Bihar,Vaishali,25.81347000,85.39248000
Chandigarh,Chandigarh,30.74260000,76.75872000
Chhattisgarh,Balod,20.77500000,81.25190000
Chhattisgarh,Baloda Bazar,21.59140000,82.47530000
Chhattisgarh,Bastar,19.39387000,81.52895000
Chhattisgarh,Bemetara,21.68940000,81.55960000
Chhattisgarh,Bilaspur,22.35694000,81.99770000
Chhattisgarh,Dantewada,18.65385000,81.07200000
